Wk,Day,Date,Time,Home,xG,Score,xGA,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2021-08-13,21:00 (00:30),Valencia,1.3,1–0,1.2,Getafe,9868,Estadio de Mestalla,Jesús Gil,Match Report,
1,Sat,2021-08-14,19:30 (23:00),Mallorca,0.4,1–1,0.9,Betis,6279,Iberostar Estadi,Antonio Matéu Lahoz,Match Report,
1,Sat,2021-08-14,19:30 (23:00),Cádiz,0.4,1–1,1,Levante,6941,Estadio Nuevo Mirandilla,Santiago Jaime,Match Report,
1,Sat,2021-08-14,22:00 (01:30),Osasuna,0.8,0–0,0.7,Espanyol,6715,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
1,Sat,2021-08-14,22:00 (01:30),Alavés,1.7,1–4,1.8,Real Madrid,3968,Estadio de Mendizorroza,César Soto,Match Report,
1,Sun,2021-08-15,17:30 (21:00),Celta Vigo,2,1–2,1.4,Atlético Madrid,5401,Estadio de Balaídos,José Luis Munuera,Match Report,
1,Sun,2021-08-15,20:00 (23:30),Barcelona,2.7,4–2,0.8,Real Sociedad,20384,Camp Nou,Alejandro Hernández,Match Report,
1,Sun,2021-08-15,22:15 (01:45),Sevilla,3.5,3–0,0.3,Rayo Vallecano,13962,Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera,Match Report,
1,Mon,2021-08-16,20:00 (23:30),Villarreal,1.1,0–0,0.3,Granada,7837,Estadio de la Cerámica,Pablo González,Match Report,
1,Mon,2021-08-16,22:00 (01:30),Elche,0.9,0–0,0.6,Athletic Club,9145,Estadio Manuel Martínez Valero,Adrián Cordero,Match Report,
,,,,,,,,,,,,,
2,Fri,2021-08-20,21:00 (00:30),Betis,1.5,1–1,1.4,Cádiz,23745,Estadio Benito Villamarín,Valentín Pizarro,Match Report,
2,Sat,2021-08-21,17:00 (20:30),Alavés,0.5,0–1,0.8,Mallorca,2896,Estadio de Mendizorroza,Alejandro Muñíz,Match Report,
2,Sat,2021-08-21,19:30 (23:00),Espanyol,1.8,0–0,0.5,Villarreal,11095,RCDE Stadium,Jorge Figueroa,Match Report,
2,Sat,2021-08-21,19:30 (23:00),Granada,0.8,1–1,1.9,Valencia,6267,Estadio Nuevo Los Cármenes,Carlos del Cerro,Match Report,
2,Sat,2021-08-21,22:00 (01:30),Athletic Club,1.6,1–1,1,Barcelona,9394,San Mamés,Juan Martínez,Match Report,
2,Sun,2021-08-22,17:00 (20:30),Real Sociedad,2,1–0,0.5,Rayo Vallecano,7652,Estadio Municipal de Anoeta,Santiago Jaime,Match Report,
2,Sun,2021-08-22,19:30 (23:00),Atlético Madrid,1.3,1–0,0.2,Elche,24926,Estadio Wanda Metropolitano,Ricardo de Burgos,Match Report,
2,Sun,2021-08-22,22:00 (01:30),Levante,1.9,3–3,1.2,Real Madrid,9838,Estadio Ciudad de Valencia,Guillermo Cuadra,Match Report,
2,Mon,2021-08-23,20:00 (23:30),Getafe,0.5,0–1,0.7,Sevilla,4810,Coliseum Alfonso Pérez,José Sánchez,Match Report,
2,Mon,2021-08-23,22:00 (01:30),Osasuna,2.1,0–0,0.2,Celta Vigo,7189,Estadio El Sadar,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
3,Fri,2021-08-27,20:00 (23:30),Mallorca,0.8,1–0,0.4,Espanyol,7529,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
3,Fri,2021-08-27,22:15 (01:45),Valencia,1.5,3–0,0.4,Alavés,10627,Estadio de Mestalla,Miguel Ángel Ortiz Arias,Match Report,
3,Sat,2021-08-28,17:00 (20:30),Celta Vigo,1,0–1,1.2,Athletic Club,5492,Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,
3,Sat,2021-08-28,19:30 (23:00),Elche,0.8,1–1,1.6,Sevilla,10385,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
3,Sat,2021-08-28,19:30 (23:00),Real Sociedad,0.9,1–0,0.2,Levante,7758,Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
3,Sat,2021-08-28,22:00 (01:30),Betis,0.8,0–1,1.1,Real Madrid,22590,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
3,Sun,2021-08-29,17:00 (20:30),Barcelona,1.5,2–1,0.4,Getafe,26543,Camp Nou,Pablo González,Match Report,
3,Sun,2021-08-29,19:30 (23:00),Rayo Vallecano,2.2,4–0,0.6,Granada,583,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
3,Sun,2021-08-29,19:30 (23:00),Cádiz,1.6,2–3,2.4,Osasuna,7452,Estadio Nuevo Mirandilla,Adrián Cordero,Match Report,
3,Sun,2021-08-29,22:00 (01:30),Atlético Madrid,1.8,2–2,0.6,Villarreal,26840,Estadio Wanda Metropolitano,César Soto,Match Report,
,,,,,,,,,,,,,
4,Sat,2021-09-11,18:30 (22:00),Levante,1,1–1,2.6,Rayo Vallecano,12974,Estadio Ciudad de Valencia,Alberola Rojas,Match Report,
4,Sat,2021-09-11,21:00 (00:30),Athletic Club,1.8,2–0,0.2,Mallorca,14566,San Mamés,Jorge Figueroa,Match Report,
4,Sun,2021-09-12,14:00 (17:30),Espanyol,0.5,1–2,1,Atlético Madrid,15321,RCDE Stadium,Juan Martínez,Match Report,
4,Sun,2021-09-12,16:15 (19:45),Osasuna,0.7,1–4,0.9,Valencia,13940,Estadio El Sadar,Ricardo de Burgos,Match Report,
4,Sun,2021-09-12,18:30 (22:00),Cádiz,0.3,0–2,1.9,Real Sociedad,11826,Estadio Nuevo Mirandilla,Alejandro Muñíz,Match Report,
4,Sun,2021-09-12,21:00 (00:30),Real Madrid,3.4,5–2,1.8,Celta Vigo,19874,Estadio Santiago Bernabéu,José Sánchez,Match Report,
4,Mon,2021-09-13,20:00 (23:30),Getafe,0.4,0–1,0.9,Elche,6853,Coliseum Alfonso Pérez,Mario Melero,Match Report,
4,Mon,2021-09-13,22:00 (01:30),Granada,0.5,1–2,2.4,Betis,10201,Estadio Nuevo Los Cármenes,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
5,Fri,2021-09-17,21:00 (00:30),Celta Vigo,1.1,1–2,1.1,Cádiz,6754,Estadio de Balaídos,Isidro Díaz de Mera,Match Report,
5,Sat,2021-09-18,14:00 (17:30),Rayo Vallecano,2,3–0,1.1,Getafe,3280,Estadio del Rayo Vallecano,Adrián Cordero,Match Report,
5,Sat,2021-09-18,16:15 (19:45),Atlético Madrid,1,0–0,0.9,Athletic Club,38798,Estadio Wanda Metropolitano,Jesús Gil,Match Report,
5,Sat,2021-09-18,18:30 (22:00),Elche,0.5,1–1,1.3,Levante,11507,Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Match Report,
5,Sat,2021-09-18,21:00 (00:30),Alavés,0.4,0–2,1.1,Osasuna,8176,Estadio de Mendizorroza,Alejandro Hernández,Match Report,
5,Sun,2021-09-19,14:00 (17:30),Mallorca,0.4,0–0,1.3,Villarreal,9168,Iberostar Estadi,Carlos del Cerro,Match Report,
5,Sun,2021-09-19,16:15 (19:45),Real Sociedad,1.3,0–0,0.8,Sevilla,23757,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
5,Sun,2021-09-19,18:30 (22:00),Betis,2.1,2–2,1.2,Espanyol,30189,Estadio Benito Villamarín,César Soto,Match Report,
5,Sun,2021-09-19,21:00 (00:30),Valencia,0.8,1–2,1.1,Real Madrid,26689,Estadio de Mestalla,Pablo González,Match Report,
5,Mon,2021-09-20,21:00 (00:30),Barcelona,1.1,1–1,0.6,Granada,27097,Camp Nou,Santiago Jaime,Match Report,
,,,,,,,,,,,,,
6,Tue,2021-09-21,19:30 (23:00),Getafe,0.3,1–2,0.8,Atlético Madrid,8950,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
6,Tue,2021-09-21,22:00 (01:30),Levante,1.6,0–2,0.6,Celta Vigo,11989,Estadio Ciudad de Valencia,Jorge Figueroa,Match Report,
6,Tue,2021-09-21,22:00 (01:30),Athletic Club,0.7,1–2,0.8,Rayo Vallecano,16236,San Mamés,José Luis Munuera,Match Report,
6,Wed,2021-09-22,19:30 (23:00),Espanyol,1.5,1–0,0.4,Alavés,14254,RCDE Stadium,Mario Melero,Match Report,
6,Wed,2021-09-22,19:30 (23:00),Sevilla,0.9,3–1,0.5,Valencia,23654,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
6,Wed,2021-09-22,22:00 (01:30),Villarreal,2.8,4–1,1.3,Elche,8234,Estadio de la Cerámica,Alejandro Muñíz,Match Report,
6,Wed,2021-09-22,22:00 (01:30),Real Madrid,2.9,6–1,1.1,Mallorca,20113,Estadio Santiago Bernabéu,Alberola Rojas,Match Report,
6,Thu,2021-09-23,19:30 (23:00),Osasuna,0.9,1–3,2.3,Betis,13758,Estadio El Sadar,Juan Martínez,Match Report,
6,Thu,2021-09-23,19:30 (23:00),Granada,1.2,2–3,1.8,Real Sociedad,9552,Estadio Nuevo Los Cármenes,Valentín Pizarro,Match Report,
6,Thu,2021-09-23,22:00 (01:30),Cádiz,1.6,0–0,0.7,Barcelona,12180,Estadio Nuevo Mirandilla,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
7,Sat,2021-09-25,14:00 (17:30),Alavés,0.6,1–0,0.7,Atlético Madrid,9836,Estadio de Mendizorroza,Antonio Matéu Lahoz,Match Report,
7,Sat,2021-09-25,16:15 (19:45),Valencia,0.8,1–1,0.9,Athletic Club,13680,Estadio de Mestalla,Alejandro Hernández,Match Report,
7,Sat,2021-09-25,18:30 (22:00),Sevilla,1.6,2–0,0.7,Espanyol,23956,Estadio Ramón Sánchez Pizjuán,Pablo González,Match Report,
7,Sat,2021-09-25,21:00 (00:30),Real Madrid,1.4,0–0,0.8,Villarreal,23985,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
7,Sun,2021-09-26,14:00 (17:30),Mallorca,2.3,2–3,0.8,Osasuna,9359,Iberostar Estadi,Miguel Ángel Ortiz Arias,Match Report,
7,Sun,2021-09-26,16:15 (19:45),Barcelona,3.5,3–0,1.2,Levante,35334,Camp Nou,Isidro Díaz de Mera,Match Report,
7,Sun,2021-09-26,18:30 (22:00),Real Sociedad,2.5,1–0,0.6,Elche,23941,Estadio Municipal de Anoeta,Adrián Cordero,Match Report,
7,Sun,2021-09-26,18:30 (22:00),Rayo Vallecano,1.4,3–1,0.8,Cádiz,5903,Estadio del Rayo Vallecano,Ricardo de Burgos,Match Report,
7,Sun,2021-09-26,21:00 (00:30),Betis,2.2,2–0,0.6,Getafe,29825,Estadio Benito Villamarín,Santiago Jaime,Match Report,
7,Mon,2021-09-27,21:00 (00:30),Celta Vigo,1.5,1–0,0.6,Granada,6375,Estadio de Balaídos,César Soto,Match Report,
,,,,,,,,,,,,,
8,Fri,2021-10-01,21:00 (00:30),Athletic Club,2.6,1–0,0.8,Alavés,28665,San Mamés,Carlos del Cerro,Match Report,
8,Sat,2021-10-02,14:00 (17:30),Osasuna,0.6,1–0,0.2,Rayo Vallecano,19238,Estadio El Sadar,Mario Melero,Match Report,
8,Sat,2021-10-02,16:15 (19:45),Mallorca,0.8,1–0,1.1,Levante,11803,Iberostar Estadi,Alejandro Muñíz,Match Report,
8,Sat,2021-10-02,18:30 (22:00),Cádiz,0.2,0–0,1.4,Valencia,14794,Estadio Nuevo Mirandilla,Valentín Pizarro,Match Report,
8,Sat,2021-10-02,21:00 (00:30),Atlético Madrid,1.1,2–0,0.8,Barcelona,60594,Estadio Wanda Metropolitano,César Soto,Match Report,
8,Sun,2021-10-03,14:00 (17:30),Elche,1.5,1–0,0.5,Celta Vigo,11299,Estadio Manuel Martínez Valero,José Luis Munuera,Match Report,
8,Sun,2021-10-03,16:15 (19:45),Espanyol,1.5,2–1,1.4,Real Madrid,23377,RCDE Stadium,Guillermo Cuadra,Match Report,
8,Sun,2021-10-03,18:30 (22:00),Villarreal,2.9,2–0,0.5,Betis,16719,Estadio de la Cerámica,José Sánchez,Match Report,
8,Sun,2021-10-03,18:30 (22:00),Getafe,0.7,1–1,0.8,Real Sociedad,8463,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
8,Sun,2021-10-03,21:00 (00:30),Granada,0.1,1–0,1.5,Sevilla,12334,Estadio Nuevo Los Cármenes,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
9,Sat,2021-10-16,18:30 (22:00),Levante,0.9,0–0,0.7,Getafe,14551,Estadio Ciudad de Valencia,Mario Melero,Match Report,
9,Sat,2021-10-16,21:00 (00:30),Real Sociedad,0.6,1–0,0.4,Mallorca,30831,Estadio Municipal de Anoeta,Pablo González,Match Report,
9,Sun,2021-10-17,14:00 (17:30),Rayo Vallecano,1.3,2–1,0.5,Elche,6989,Estadio del Rayo Vallecano,Santiago Jaime,Match Report,
9,Sun,2021-10-17,16:15 (19:45),Celta Vigo,1,0–1,0.9,Sevilla,10774,Estadio de Balaídos,Ricardo de Burgos,Match Report,
9,Sun,2021-10-17,18:30 (22:00),Villarreal,0.5,1–2,0.9,Osasuna,14831,Estadio de la Cerámica,Adrián Cordero,Match Report,
9,Sun,2021-10-17,21:00 (00:30),Barcelona,1.9,3–1,0.5,Valencia,47317,Camp Nou,Jesús Gil,Match Report,
9,Mon,2021-10-18,19:00 (22:30),Alavés,1.3,0–1,1.4,Betis,10227,Estadio de Mendizorroza,Miguel Ángel Ortiz Arias,Match Report,
9,Mon,2021-10-18,21:00 (00:30),Espanyol,1.7,2–0,0.6,Cádiz,15678,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
10,Fri,2021-10-22,21:00 (00:30),Osasuna,1,1–1,0.6,Granada,21128,Estadio El Sadar,Alejandro Muñíz,Match Report,
10,Sat,2021-10-23,14:00 (17:30),Valencia,1.4,2–2,0.5,Mallorca,29139,Estadio de Mestalla,Carlos del Cerro,Match Report,
10,Sat,2021-10-23,16:15 (19:45),Cádiz,1.6,0–2,1.7,Alavés,13790,Estadio Nuevo Mirandilla,Alberola Rojas,Match Report,
10,Sat,2021-10-23,18:30 (22:00),Elche,1.2,2–2,1.1,Espanyol,13449,Estadio Manuel Martínez Valero,Jorge Figueroa,Match Report,
10,Sat,2021-10-23,21:00 (00:30),Athletic Club,2.6,2–1,0.6,Villarreal,38698,San Mamés,Guillermo Cuadra,Match Report,
10,Sun,2021-10-24,14:00 (17:30),Sevilla,1.4,5–3,1.8,Levante,30601,Estadio Ramón Sánchez Pizjuán,Valentín Pizarro,Match Report,
10,Sun,2021-10-24,16:15 (19:45),Barcelona,1.7,1–2,1.1,Real Madrid,86422,Camp Nou,José Sánchez,Match Report,
10,Sun,2021-10-24,18:30 (22:00),Betis,1.5,3–2,1.2,Rayo Vallecano,45362,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
10,Sun,2021-10-24,21:00 (00:30),Atlético Madrid,1.6,2–2,0.9,Real Sociedad,50032,Estadio Wanda Metropolitano,José Luis Munuera,Match Report,
10,Mon,2021-10-25,21:00 (00:30),Getafe,0.7,0–3,2.1,Celta Vigo,7630,Coliseum Alfonso Pérez,Juan Martínez,Match Report,
,,,,,,,,,,,,,
11,Tue,2021-10-26,19:00 (22:30),Alavés,1.4,1–0,0.3,Elche,10206,Estadio de Mendizorroza,Jesús Gil,Match Report,
11,Tue,2021-10-26,21:00 (00:30),Espanyol,1.2,1–1,3.2,Athletic Club,16196,RCDE Stadium,Miguel Ángel Ortiz Arias,Match Report,
11,Tue,2021-10-26,21:30 (01:00),Villarreal,1.7,3–3,1,Cádiz,12190,Estadio de la Cerámica,Alejandro Hernández,Match Report,
11,Wed,2021-10-27,19:00 (22:30),Rayo Vallecano,1,1–0,2.8,Barcelona,9340,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
11,Wed,2021-10-27,19:00 (22:30),Mallorca,1.8,1–1,1,Sevilla,15125,Iberostar Estadi,Santiago Jaime,Match Report,
11,Wed,2021-10-27,20:00 (23:30),Betis,2.1,4–1,1.6,Valencia,43123,Estadio Benito Villamarín,Isidro Díaz de Mera,Match Report,
11,Wed,2021-10-27,21:30 (01:00),Real Madrid,0.8,0–0,0.8,Osasuna,35691,Estadio Santiago Bernabéu,César Soto,Match Report,
11,Thu,2021-10-28,19:00 (22:30),Celta Vigo,1.4,0–2,1.8,Real Sociedad,8726,Estadio de Balaídos,Mario Melero,Match Report,
11,Thu,2021-10-28,20:00 (23:30),Granada,2.2,1–1,0.4,Getafe,13651,Estadio Nuevo Los Cármenes,Adrián Cordero,Match Report,
11,Thu,2021-10-28,21:30 (01:00),Levante,1.8,2–2,0.7,Atlético Madrid,16298,Estadio Ciudad de Valencia,Pablo González,Match Report,
,,,,,,,,,,,,,
12,Sat,2021-10-30,14:00 (17:30),Elche,1.3,1–2,1.1,Real Madrid,23010,Estadio Manuel Martínez Valero,Ricardo de Burgos,Match Report,
12,Sat,2021-10-30,16:15 (19:45),Sevilla,2.1,2–0,0.5,Osasuna,20335,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
12,Sat,2021-10-30,18:30 (22:00),Valencia,1.4,2–0,0.8,Villarreal,31487,Estadio de Mestalla,José Luis Munuera,Match Report,
12,Sat,2021-10-30,21:00 (00:30),Barcelona,1.4,1–1,0.8,Alavés,37278,Camp Nou,Jorge Figueroa,Match Report,
12,Sun,2021-10-31,14:00 (18:30),Cádiz,1.9,1–1,1.2,Mallorca,11790,Estadio Nuevo Mirandilla,Valentín Pizarro,Match Report,
12,Sun,2021-10-31,16:15 (20:45),Atlético Madrid,2.2,3–0,0.5,Betis,56838,Estadio Wanda Metropolitano,Alberola Rojas,Match Report,
12,Sun,2021-10-31,18:30 (23:00),Getafe,0.8,2–1,0.6,Espanyol,4721,Coliseum Alfonso Pérez,Alejandro Muñíz,Match Report,
12,Sun,2021-10-31,21:00 (01:30),Real Sociedad,1,1–1,1.1,Athletic Club,37066,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
12,Mon,2021-11-01,18:30 (23:00),Rayo Vallecano,0.6,0–0,0.4,Celta Vigo,9580,Estadio del Rayo Vallecano,Adrián Cordero,Match Report,
12,Mon,2021-11-01,21:00 (01:30),Levante,1.3,0–3,1.3,Granada,14512,Estadio Ciudad de Valencia,José Sánchez,Match Report,
,,,,,,,,,,,,,
13,Fri,2021-11-05,21:00 (01:30),Athletic Club,0.7,0–1,0.5,Cádiz,37581,San Mamés,Santiago Jaime,Match Report,
13,Sat,2021-11-06,14:00 (18:30),Espanyol,1.4,2–0,1.5,Granada,19050,RCDE Stadium,Isidro Díaz de Mera,Match Report,
13,Sat,2021-11-06,16:15 (20:45),Celta Vigo,1.7,3–3,0.8,Barcelona,13146,Estadio de Balaídos,Alejandro Hernández,Match Report,
13,Sat,2021-11-06,18:30 (23:00),Alavés,1.5,2–1,0.6,Levante,12176,Estadio de Mendizorroza,Adrián Cordero,Match Report,
13,Sat,2021-11-06,21:00 (01:30),Real Madrid,2.1,2–1,1.3,Rayo Vallecano,43283,Estadio Santiago Bernabéu,Pablo González,Match Report,
13,Sun,2021-11-07,14:00 (18:30),Villarreal,1.1,1–0,0.3,Getafe,13504,Estadio de la Cerámica,Jesús Gil,Match Report,
13,Sun,2021-11-07,16:15 (20:45),Valencia,0.9,3–3,1.9,Atlético Madrid,37472,Estadio de Mestalla,César Soto,Match Report,
13,Sun,2021-11-07,18:30 (23:00),Osasuna,0.5,0–2,1.3,Real Sociedad,21741,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
13,Sun,2021-11-07,18:30 (23:00),Mallorca,1.9,2–2,0.6,Elche,12933,Iberostar Estadi,Mario Melero,Match Report,
13,Sun,2021-11-07,21:00 (01:30),Betis,0.3,0–2,1.6,Sevilla,50534,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
14,Fri,2021-11-19,21:00 (01:30),Levante,0.7,0–0,0.7,Athletic Club,15230,Estadio Ciudad de Valencia,José Luis Munuera,Match Report,
14,Sat,2021-11-20,14:00 (18:30),Celta Vigo,1,1–1,2.5,Villarreal,10086,Estadio de Balaídos,Alberola Rojas,Match Report,
14,Sat,2021-11-20,16:15 (20:45),Sevilla,1.7,2–2,1.7,Alavés,25208,Estadio Ramón Sánchez Pizjuán,Alejandro Muñíz,Match Report,
14,Sat,2021-11-20,18:30 (23:00),Atlético Madrid,1.2,1–0,0.3,Osasuna,53261,Estadio Wanda Metropolitano,José Sánchez,Match Report,
14,Sat,2021-11-20,21:00 (01:30),Barcelona,1.5,1–0,1,Espanyol,74418,Camp Nou,Carlos del Cerro,Match Report,
14,Sun,2021-11-21,14:00 (18:30),Getafe,1.3,4–0,0.4,Cádiz,8825,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
14,Sun,2021-11-21,16:15 (20:45),Granada,0.7,1–4,3.3,Real Madrid,17460,Estadio Nuevo Los Cármenes,Juan Martínez,Match Report,
14,Sun,2021-11-21,18:30 (23:00),Elche,1.3,0–3,1.9,Betis,16127,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
14,Sun,2021-11-21,21:00 (01:30),Real Sociedad,0.4,0–0,0.5,Valencia,28635,Estadio Municipal de Anoeta,Mario Melero,Match Report,
14,Mon,2021-11-22,21:00 (01:30),Rayo Vallecano,2.5,3–1,0.8,Mallorca,6708,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
15,Fri,2021-11-26,21:00 (01:30),Athletic Club,1.2,2–2,1.3,Granada,32651,San Mamés,Adrián Cordero,Match Report,
15,Sat,2021-11-27,14:00 (18:30),Alavés,1.2,1–2,1.3,Celta Vigo,10093,Estadio de Mendizorroza,Pablo González,Match Report,
15,Sat,2021-11-27,16:15 (20:45),Valencia,1.5,1–1,1.6,Rayo Vallecano,30030,Estadio de Mestalla,Alejandro Hernández,Match Report,
15,Sat,2021-11-27,18:30 (23:00),Mallorca,0.4,0–0,0.8,Getafe,8635,Iberostar Estadi,Santiago Jaime,Match Report,
15,Sat,2021-11-27,21:00 (01:30),Villarreal,1.4,1–3,3,Barcelona,19050,Estadio de la Cerámica,César Soto,Match Report,
15,Sun,2021-11-28,14:00 (18:30),Betis,2.4,3–1,0.2,Levante,45012,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
15,Sun,2021-11-28,16:15 (20:45),Espanyol,0.5,1–0,1.8,Real Sociedad,19935,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
15,Sun,2021-11-28,18:30 (23:00),Cádiz,1,1–4,3.4,Atlético Madrid,16861,Estadio Nuevo Mirandilla,Jesús Gil,Match Report,
15,Sun,2021-11-28,21:00 (01:30),Real Madrid,1.5,2–1,0.5,Sevilla,45281,Estadio Santiago Bernabéu,José Sánchez,Match Report,
15,Mon,2021-11-29,21:00 (01:30),Osasuna,2,1–1,1.3,Elche,16485,Estadio El Sadar,Isidro Díaz de Mera,Match Report,
,,,,,,,,,,,,,
9,Wed,2021-12-01,21:00 (01:30),Real Madrid,1.7,1–0,1.9,Athletic Club,33627,Estadio Santiago Bernabéu,Isidro Díaz de Mera,Match Report,
,,,,,,,,,,,,,
16,Fri,2021-12-03,21:00 (01:30),Granada,1,2–1,1.7,Alavés,13511,Estadio Nuevo Los Cármenes,Alberola Rojas,Match Report,
16,Sat,2021-12-04,14:00 (18:30),Sevilla,0.3,1–0,1.9,Villarreal,30865,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
16,Sat,2021-12-04,16:15 (20:45),Barcelona,0.8,0–1,0.7,Betis,66529,Camp Nou,Pablo González,Match Report,
16,Sat,2021-12-04,18:30 (23:00),Atlético Madrid,1.4,1–2,0.6,Mallorca,51009,Estadio Wanda Metropolitano,Juan Martínez,Match Report,
16,Sat,2021-12-04,21:00 (01:30),Real Sociedad,0.8,0–2,2,Real Madrid,35765,Estadio Municipal de Anoeta,Jesús Gil,Match Report,
16,Sun,2021-12-05,14:00 (18:30),Rayo Vallecano,0.5,1–0,0.5,Espanyol,8679,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
16,Sun,2021-12-05,16:15 (20:45),Elche,2.3,3–1,1.5,Cádiz,11879,Estadio Manuel Martínez Valero,Alejandro Muñíz,Match Report,
16,Sun,2021-12-05,18:30 (23:00),Levante,0.5,0–0,0.3,Osasuna,15361,Estadio Ciudad de Valencia,Valentín Pizarro,Match Report,
16,Sun,2021-12-05,21:00 (01:30),Celta Vigo,0.6,1–2,1.5,Valencia,11361,Estadio de Balaídos,Ricardo de Burgos,Match Report,
16,Mon,2021-12-06,21:00 (01:30),Getafe,1.1,0–0,0.5,Athletic Club,9176,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
17,Fri,2021-12-10,21:00 (01:30),Mallorca,0.7,0–0,1.3,Celta Vigo,10655,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
17,Sat,2021-12-11,14:00 (18:30),Espanyol,2.3,4–3,2.8,Levante,15193,RCDE Stadium,Adrián Cordero,Match Report,
17,Sat,2021-12-11,16:15 (20:45),Alavés,0.7,1–1,1,Getafe,10065,Estadio de Mendizorroza,César Soto,Match Report,
